name;title;vision;weapon;gender;nation;affiliation;description;constellation;rarity;card;constellation-1;constellation-2;constellation-3;constellation-4;constellation-5;constellation-6;gacha-card;gacha-splash;icon;icon-big;icon-side;portrait;talent-burst;talent-na;talent-passive-0;talent-passive-1;talent-passive-2;talent-skill
Albedo;Kreideprinz;Geo;Sword;Male;Mondstadt;Knights of Favonius;A genius known as the Kreideprinz, he is the Chief Alchemist and Captain of the Investigation Team of the Knights of Favonius.;https://genshin.jmp.blue/characters/albedo/constellation;5;https://genshin.jmp.blue/characters/albedo/card;https://genshin.jmp.blue/characters/albedo/constellation-1;https://genshin.jmp.blue/characters/albedo/constellation-2;https://genshin.jmp.blue/characters/albedo/constellation-3;https://genshin.jmp.blue/characters/albedo/constellation-4;https://genshin.jmp.blue/characters/albedo/constellation-5;https://genshin.jmp.blue/characters/albedo/constellation-6;https://genshin.jmp.blue/characters/albedo/gacha-card;https://genshin.jmp.blue/characters/albedo/gacha-splash;https://genshin.jmp.blue/characters/albedo/icon;https://genshin.jmp.blue/characters/albedo/icon-big;https://genshin.jmp.blue/characters/albedo/icon-side;https://genshin.jmp.blue/characters/albedo/portrait;https://genshin.jmp.blue/characters/albedo/talent-burst;https://genshin.jmp.blue/characters/albedo/talent-na;https://genshin.jmp.blue/characters/albedo/talent-passive-0;https://genshin.jmp.blue/characters/albedo/talent-passive-1;https://genshin.jmp.blue/characters/albedo/talent-passive-2;https://genshin.jmp.blue/characters/albedo/talent-skill
Alhaitham;Admonishing Instruction;Dendro;Sword;Male;Sumeru;Sumeru Akademiya;The current scribe of the Sumeru Akademiya, a man endowed with extraodinary intelligence and talent. He lives free — free from the searching eyes of ordinary people, anyway.;https://genshin.jmp.blue/characters/alhaitham/constellation;5;https://genshin.jmp.blue/characters/alhaitham/card;https://genshin.jmp.blue/characters/alhaitham/constellation-1;https://genshin.jmp.blue/characters/alhaitham/constellation-2;https://genshin.jmp.blue/characters/alhaitham/constellation-3;https://genshin.jmp.blue/characters/alhaitham/constellation-4;https://genshin.jmp.blue/characters/alhaitham/constellation-5;https://genshin.jmp.blue/characters/alhaitham/constellation-6;https://genshin.jmp.blue/characters/alhaitham/gacha-card;https://genshin.jmp.blue/characters/alhaitham/gacha-splash;https://genshin.jmp.blue/characters/alhaitham/icon;https://genshin.jmp.blue/characters/alhaitham/icon-big;https://genshin.jmp.blue/characters/alhaitham/icon-side;https://genshin.jmp.blue/characters/alhaitham/portrait;https://genshin.jmp.blue/characters/alhaitham/talent-burst;https://genshin.jmp.blue/characters/alhaitham/talent-na;https://genshin.jmp.blue/characters/alhaitham/talent-passive-0;https://genshin.jmp.blue/characters/alhaitham/talent-passive-1;https://genshin.jmp.blue/characters/alhaitham/talent-passive-2;https://genshin.jmp.blue/characters/alhaitham/talent-skill
Aloy;Savior From Another World;Cryo;Bow;Female;Unknown;Wandering Heroine;;https://genshin.jmp.blue/characters/aloy/constellation;5;https://genshin.jmp.blue/characters/aloy/card;https://genshin.jmp.blue/characters/aloy/constellation-1;https://genshin.jmp.blue/characters/aloy/constellation-2;https://genshin.jmp.blue/characters/aloy/constellation-3;https://genshin.jmp.blue/characters/aloy/constellation-4;https://genshin.jmp.blue/characters/aloy/constellation-5;https://genshin.jmp.blue/characters/aloy/constellation-6;https://genshin.jmp.blue/characters/aloy/gacha-card;https://genshin.jmp.blue/characters/aloy/gacha-splash;https://genshin.jmp.blue/characters/aloy/icon;https://genshin.jmp.blue/characters/aloy/icon-big;https://genshin.jmp.blue/characters/aloy/icon-side;https://genshin.jmp.blue/characters/aloy/portrait;https://genshin.jmp.blue/characters/aloy/talent-burst;https://genshin.jmp.blue/characters/aloy/talent-na;https://genshin.jmp.blue/characters/aloy/talent-passive-0;https://genshin.jmp.blue/characters/aloy/talent-passive-1;https://genshin.jmp.blue/characters/aloy/talent-passive-2;https://genshin.jmp.blue/characters/aloy/talent-skill
Amber;Gliding Champion;Pyro;Bow;Female;Mondstadt;Knights of Favonius;Always energetic and full of life, Amber's the best - albeit only - Outrider of the Knights of Favonius.;https://genshin.jmp.blue/characters/amber/constellation;4;https://genshin.jmp.blue/characters/amber/card;https://genshin.jmp.blue/characters/amber/constellation-1;https://genshin.jmp.blue/characters/amber/constellation-2;https://genshin.jmp.blue/characters/amber/constellation-3;https://genshin.jmp.blue/characters/amber/constellation-4;https://genshin.jmp.blue/characters/amber/constellation-5;https://genshin.jmp.blue/characters/amber/constellation-6;https://genshin.jmp.blue/characters/amber/gacha-card;https://genshin.jmp.blue/characters/amber/gacha-splash;https://genshin.jmp.blue/characters/amber/icon;https://genshin.jmp.blue/characters/amber/icon-big;https://genshin.jmp.blue/characters/amber/icon-side;https://genshin.jmp.blue/characters/amber/portrait;https://genshin.jmp.blue/characters/amber/talent-burst;https://genshin.jmp.blue/characters/amber/talent-na;https://genshin.jmp.blue/characters/amber/talent-passive-0;https://genshin.jmp.blue/characters/amber/talent-passive-1;https://genshin.jmp.blue/characters/amber/talent-passive-2;https://genshin.jmp.blue/characters/amber/talent-skill
Arataki Itto;Hanamizaka Heroics;Geo;Claymore;Male;Inazuma;Arataki Gang Oni;The first and greatest head of the Arataki Gang, famed throughout Inazuma City's Hanamizaka... Wait, what? You've never heard of them? Are you trying to be funny here?;https://genshin.jmp.blue/characters/arataki-itto/constellation;5;https://genshin.jmp.blue/characters/arataki-itto/card;https://genshin.jmp.blue/characters/arataki-itto/constellation-1;https://genshin.jmp.blue/characters/arataki-itto/constellation-2;https://genshin.jmp.blue/characters/arataki-itto/constellation-3;https://genshin.jmp.blue/characters/arataki-itto/constellation-4;https://genshin.jmp.blue/characters/arataki-itto/constellation-5;https://genshin.jmp.blue/characters/arataki-itto/constellation-6;https://genshin.jmp.blue/characters/arataki-itto/gacha-card;https://genshin.jmp.blue/characters/arataki-itto/gacha-splash;https://genshin.jmp.blue/characters/arataki-itto/icon;https://genshin.jmp.blue/characters/arataki-itto/icon-big;https://genshin.jmp.blue/characters/arataki-itto/icon-side;https://genshin.jmp.blue/characters/arataki-itto/portrait;https://genshin.jmp.blue/characters/arataki-itto/talent-burst;https://genshin.jmp.blue/characters/arataki-itto/talent-na;https://genshin.jmp.blue/characters/arataki-itto/talent-passive-0;https://genshin.jmp.blue/characters/arataki-itto/talent-passive-1;https://genshin.jmp.blue/characters/arataki-itto/talent-passive-2;https://genshin.jmp.blue/characters/arataki-itto/talent-skill
Kamisato Ayaka;Frostflake Heron;Cryo;Sword;Female;Inazuma;Yashiro Commission;Daughter of the Yashiro Commission's Kamisato Clan. Dignified and elegant, as well as wise and strong.;https://genshin.jmp.blue/characters/kamisato-ayaka/constellation;5;https://genshin.jmp.blue/characters/kamisato-ayaka/card;https://genshin.jmp.blue/characters/kamisato-ayaka/constellation-1;https://genshin.jmp.blue/characters/kamisato-ayaka/constellation-2;https://genshin.jmp.blue/characters/kamisato-ayaka/constellation-3;https://genshin.jmp.blue/characters/kamisato-ayaka/constellation-4;https://genshin.jmp.blue/characters/kamisato-ayaka/constellation-5;https://genshin.jmp.blue/characters/kamisato-ayaka/constellation-6;https://genshin.jmp.blue/characters/kamisato-ayaka/gacha-card;https://genshin.jmp.blue/characters/kamisato-ayaka/gacha-splash;https://genshin.jmp.blue/characters/kamisato-ayaka/icon;https://genshin.jmp.blue/characters/kamisato-ayaka/icon-big;https://genshin.jmp.blue/characters/kamisato-ayaka/icon-side;https://genshin.jmp.blue/characters/kamisato-ayaka/portrait;https://genshin.jmp.blue/characters/kamisato-ayaka/talent-burst;https://genshin.jmp.blue/characters/kamisato-ayaka/talent-na;https://genshin.jmp.blue/characters/kamisato-ayaka/talent-passive-0;https://genshin.jmp.blue/characters/kamisato-ayaka/talent-passive-1;https://genshin.jmp.blue/characters/kamisato-ayaka/talent-passive-2;https://genshin.jmp.blue/characters/kamisato-ayaka/talent-skill
Kamisato Ayato;Pillar of Fortitude;Hydro;Sword;Male;Inazuma;Yashiro Commission;The young but highly accomplished head of the Yashiro Commisson's Kamisato Clan. Cultured and polite, he is a man of many ways and means.;https://genshin.jmp.blue/characters/kamisato-ayato/constellation;5;https://genshin.jmp.blue/characters/kamisato-ayato/card;https://genshin.jmp.blue/characters/kamisato-ayato/constellation-1;https://genshin.jmp.blue/characters/kamisato-ayato/constellation-2;https://genshin.jmp.blue/characters/kamisato-ayato/constellation-3;https://genshin.jmp.blue/characters/kamisato-ayato/constellation-4;https://genshin.jmp.blue/characters/kamisato-ayato/constellation-5;https://genshin.jmp.blue/characters/kamisato-ayato/constellation-6;https://genshin.jmp.blue/characters/kamisato-ayato/gacha-card;https://genshin.jmp.blue/characters/kamisato-ayato/gacha-splash;https://genshin.jmp.blue/characters/kamisato-ayato/icon;https://genshin.jmp.blue/characters/kamisato-ayato/icon-big;https://genshin.jmp.blue/characters/kamisato-ayato/icon-side;https://genshin.jmp.blue/characters/kamisato-ayato/portrait;https://genshin.jmp.blue/characters/kamisato-ayato/talent-burst;https://genshin.jmp.blue/characters/kamisato-ayato/talent-na;https://genshin.jmp.blue/characters/kamisato-ayato/talent-passive-0;https://genshin.jmp.blue/characters/kamisato-ayato/talent-passive-1;https://genshin.jmp.blue/characters/kamisato-ayato/talent-passive-2;https://genshin.jmp.blue/characters/kamisato-ayato/talent-skill
Baizhu;Beyond Mortality;Dendro;Catalyst;Male;Liyue;Bubu Pharmacy;The owner of Bubu Pharmacy, who is rarely seen without the white snake named Changsheng. His medicinal knowledge is encyclopedic, and his personal intrigues subtle.;https://genshin.jmp.blue/characters/baizhu/constellation;5;https://genshin.jmp.blue/characters/baizhu/card;https://genshin.jmp.blue/characters/baizhu/constellation-1;https://genshin.jmp.blue/characters/baizhu/constellation-2;https://genshin.jmp.blue/characters/baizhu/constellation-3;https://genshin.jmp.blue/characters/baizhu/constellation-4;https://genshin.jmp.blue/characters/baizhu/constellation-5;https://genshin.jmp.blue/characters/baizhu/constellation-6;https://genshin.jmp.blue/characters/baizhu/gacha-card;https://genshin.jmp.blue/characters/baizhu/gacha-splash;https://genshin.jmp.blue/characters/baizhu/icon;https://genshin.jmp.blue/characters/baizhu/icon-big;https://genshin.jmp.blue/characters/baizhu/icon-side;https://genshin.jmp.blue/characters/baizhu/portrait;https://genshin.jmp.blue/characters/baizhu/talent-burst;https://genshin.jmp.blue/characters/baizhu/talent-na;https://genshin.jmp.blue/characters/baizhu/talent-passive-0;https://genshin.jmp.blue/characters/baizhu/talent-passive-1;https://genshin.jmp.blue/characters/baizhu/talent-passive-2;https://genshin.jmp.blue/characters/baizhu/talent-skill
Barbara;Shining Idol;Hydro;Catalyst;Female;Mondstadt;Church of Favonius;Every denizen of Mondstadt adores Barbara. However, she learned the word "idol" from a magazine.;https://genshin.jmp.blue/characters/barbara/constellation;4;https://genshin.jmp.blue/characters/barbara/card;https://genshin.jmp.blue/characters/barbara/constellation-1;https://genshin.jmp.blue/characters/barbara/constellation-2;https://genshin.jmp.blue/characters/barbara/constellation-3;https://genshin.jmp.blue/characters/barbara/constellation-4;https://genshin.jmp.blue/characters/barbara/constellation-5;https://genshin.jmp.blue/characters/barbara/constellation-6;https://genshin.jmp.blue/characters/barbara/gacha-card;https://genshin.jmp.blue/characters/barbara/gacha-splash;https://genshin.jmp.blue/characters/barbara/icon;https://genshin.jmp.blue/characters/barbara/icon-big;https://genshin.jmp.blue/characters/barbara/icon-side;https://genshin.jmp.blue/characters/barbara/portrait;https://genshin.jmp.blue/characters/barbara/talent-burst;https://genshin.jmp.blue/characters/barbara/talent-na;https://genshin.jmp.blue/characters/barbara/talent-passive-0;https://genshin.jmp.blue/characters/barbara/talent-passive-1;https://genshin.jmp.blue/characters/barbara/talent-passive-2;https://genshin.jmp.blue/characters/barbara/talent-skill
Beidou;Uncrowned Lord of the Ocean;Electro;Claymore;Female;Liyue;The Crux;Captain of her crew, The Crux. She's quite an unbound and forthright woman.;https://genshin.jmp.blue/characters/beidou/constellation;4;https://genshin.jmp.blue/characters/beidou/card;https://genshin.jmp.blue/characters/beidou/constellation-1;https://genshin.jmp.blue/characters/beidou/constellation-2;https://genshin.jmp.blue/characters/beidou/constellation-3;https://genshin.jmp.blue/characters/beidou/constellation-4;https://genshin.jmp.blue/characters/beidou/constellation-5;https://genshin.jmp.blue/characters/beidou/constellation-6;https://genshin.jmp.blue/characters/beidou/gacha-card;https://genshin.jmp.blue/characters/beidou/gacha-splash;https://genshin.jmp.blue/characters/beidou/icon;https://genshin.jmp.blue/characters/beidou/icon-big;https://genshin.jmp.blue/characters/beidou/icon-side;https://genshin.jmp.blue/characters/beidou/portrait;https://genshin.jmp.blue/characters/beidou/talent-burst;https://genshin.jmp.blue/characters/beidou/talent-na;https://genshin.jmp.blue/characters/beidou/talent-passive-0;https://genshin.jmp.blue/characters/beidou/talent-passive-1;https://genshin.jmp.blue/characters/beidou/talent-passive-2;https://genshin.jmp.blue/characters/beidou/talent-skill
